Sample,Site,Island,Altitude,Layer,Vegetation,Temperature,Moisture,pH,N,C,Salinity,Latitude,Longitude,Date,logTemp,logSal,logN,logMoist,logC,Observed,Shannon,Evenness,PD
A1,Lost Hammer Soil,Axel Heiberg,133,Upper,0,22.6,2.335,6.31,0.016,1.474,152.65,79.076,-90.213,11.07.19,3.24259235148552,5.02860617941749,-4.07454193492592,1.07295254188753,0.417723005503666,857,4.8384694155456,0.716445382909541,86.5053078675
A10,Gypsum Hill,Axel Heiberg,98,Lower,0,13.8,5.767,5.75,0,0.53,4.73,79.404,-90.734,12.07.19,2.82137888640921,1.56861591791385,-6.90775527898214,1.84939924867447,-0.554255181693327,3518,6.65966757296569,0.815571236219208,284.7077501215
A11,Gypsum Hill,Axel Heiberg,96,Upper,1,17.6,1.669,5.52,0.098,1.95,3.44,79.403,-90.74,12.07.19,3.02529107579554,1.25561603747777,-2.31263542884755,0.81447946572747,0.690393392363324,3029,6.9527736241332,0.867363297954194,348.8255767645
A12,Gypsum Hill,Axel Heiberg,96,Lower,1,14.1,3.351,4.84,0,1.741,0.72,79.403,-90.74,12.07.19,2.83907846350861,-0.23572233352107,-6.90775527898214,1.37118072330984,0.579698488052366,1712,6.63669218928728,0.891379447659525,182.3625228845
A2,Lost Hammer Soil,Axel Heiberg,133,Lower,0,13.3,10.775,7.39,0.045,1.502,7.02,79.076,-90.213,11.07.19,2.79116510781272,1.95868534054404,-3.07911388249304,2.43045046399194,0.435994313142987,504,5.36055414916966,0.861468613357971,64.5728668545
A3,Lost Hammer Soil,Axel Heiberg,128,Upper,0,22.1,12.999,6.22,0.02,1.582,80.41,79.076,-90.216,11.07.19,3.22286784613774,4.38800870635143,-3.86323284125871,2.60918705029834,0.486430466931269,1206,5.12445654291389,0.722256525158307,113.8006845995
A4,Lost Hammer Soil,Axel Heiberg,128,Lower,0,16.65,10.286,5.91,0,0.713,19.49,79.076,-90.216,11.07.19,2.97807733831527,2.97348666460667,-6.90775527898214,2.38646657697475,-0.277731741598613,630,5.6174672172142,0.871503474339608,94.9429999395
A5,Lost Hammer Soil,Axel Heiberg,130,Upper,1,26.8,2.191,5.62,0.056,1.699,81.99,79.076,-90.215,11.07.19,3.39450839351136,4.40745068701404,-2.86470401114759,1.02245092770255,0.555894587133569,662,5.08705355014563,0.783194082880229,72.1569214545
A6,Lost Hammer Soil,Axel Heiberg,130,Lower,1,15.35,5.852,6.01,0.013,1.248,11.18,79.076,-90.215,11.07.19,2.90962957450058,2.42036812865043,-4.26869794936688,1.86268380756475,0.256578327400447,1618,6.20434428877999,0.839679191972957,138.6816235915
A7,Gypsum Hill,Axel Heiberg,98,Upper,1,15.8,7.013,5.34,0,0.968,50.02,79.404,-90.734,12.07.19,2.9338568698359,3.91382138736953,-6.90775527898214,2.02841137056706,0.0124225199985571,3284,6.74483243702773,0.833022661254457,337.0269695805
A8,Gypsum Hill,Axel Heiberg,98,Lower,1,13.8,4.949,5.74,0,0.658,2.29,79.404,-90.734,12.07.19,2.82137888640921,0.858661619037519,-6.90775527898214,1.71163342474877,-0.353109877774236,2183,6.9094965470655,0.898684615652891,197.4257211745
A9,Gypsum Hill,Axel Heiberg,98,Upper,0,15.5,11.705,5.67,0,1.198,74.53,79.404,-90.734,12.07.19,2.91777073208428,4.31214050720972,-6.90775527898214,2.50911133848482,0.217125478988647,1780,6.21847048100432,0.830861062219672,191.4936671945
B1,Polygon interior on slope,Axel Heiberg,162,Upper,1,27.6,1.178,2.39,0.148,5.428,2.44,79.408,-90.764,13.07.19,3.42100000895834,0.920282753143692,-1.90380897303668,0.569283193337559,1.69973555041488,730,5.55177427259753,0.842065337773371,93.0314940135
B10,Cotton grass,Axel Heiberg,91,Lower,2,10.4,33.165,5.66,0,2.089,0.72,79.387,-91.012,13.07.19,2.59525470695687,-0.23572233352107,-6.90775527898214,3.51909892881429,0.757763823645918,4474,7.5212385844682,0.894742381294253,494.6504955675
B11,Polygon interior moss,Axel Heiberg,94,Upper,2,15.1,8.839,5.86,0.147,3.911,0.57,79.388,-91.003,13.07.19,2.89591193827178,-0.44628710262842,-1.91054300521802,2.24368398507388,1.37510701547931,5569,7.80992514409682,0.905501634736712,494.8663278045
B12,Polygon interior moss,Axel Heiberg,94,Lower,2,11.8,12.629,5.58,0.082,2.113,0.57,79.388,-91.003,13.07.19,2.69462718077007,-0.44628710262842,-2.48891467118554,2.58157953704826,0.768950143975446,2162,6.87145949813181,0.894862392981929,269.8195596255
B2,Polygon interior on slope,Axel Heiberg,162,Lower,1,16.65,6.405,2.87,0.182,5.385,0.57,79.408,-90.764,13.07.19,2.97807733831527,-0.44628710262842,-1.69826912614072,1.94505263864118,1.69184704867482,2202,6.35153675566102,0.825183402189554,285.1868050415
