Well,Sample,Site,Island,Altitude,Layer,Vegetation,Temperature,Moisture,pH,N,C,Salinity,Latitude,Longitude,Date
A1,1,Lost Hammer Soil,Axel Heiberg,133,Upper,None,22.6,2.335,6.31,0.016,1.474,152.65,79.076,-90.213,11.07.19
A2,2,Lost Hammer Soil,Axel Heiberg,133,Lower,None,13.3,10.775,7.39,0.045,1.502,7.02,79.076,-90.213,11.07.19
A3,3,Lost Hammer Soil,Axel Heiberg,128,Upper,None,22.1,12.999,6.22,0.02,1.582,80.41,79.076,-90.216,11.07.19
A4,4,Lost Hammer Soil,Axel Heiberg,128,Lower,None,16.65,10.286,5.91,0,0.713,19.49,79.076,-90.216,11.07.19
A5,5,Lost Hammer Soil,Axel Heiberg,130,Upper,Sparse,26.8,2.191,5.62,0.056,1.699,81.99,79.076,-90.215,11.07.19
A6,6,Lost Hammer Soil,Axel Heiberg,130,Lower,Sparse,15.35,5.852,6.01,0.013,1.248,11.18,79.076,-90.215,11.07.19
A7,7,Gypsum Hill,Axel Heiberg,98,Upper,Sparse,15.8,7.013,5.34,0,0.968,50.02,79.404,-90.734,12.07.19
A8,8,Gypsum Hill,Axel Heiberg,98,Lower,Sparse,13.8,4.949,5.74,0,0.658,2.29,79.404,-90.734,12.07.19
A9,9,Gypsum Hill,Axel Heiberg,98,Upper,None,15.5,11.705,5.67,0,1.198,74.53,79.404,-90.734,12.07.19
A10,10,Gypsum Hill,Axel Heiberg,98,Lower,None,13.8,5.767,5.75,0,0.53,4.73,79.404,-90.734,12.07.19
A11,11,Gypsum Hill,Axel Heiberg,96,Upper,Sparse,17.6,1.669,5.52,0.098,1.95,3.44,79.403,-90.74,12.07.19
A12,12,Gypsum Hill,Axel Heiberg,96,Lower,Sparse,14.1,3.351,4.84,0,1.741,0.72,79.403,-90.74,12.07.19
B1,13,Polygon interior on slope,Axel Heiberg,162,Upper,Sparse,27.6,1.178,2.39,0.148,5.428,2.44,79.408,-90.764,13.07.19
B2,14,Polygon interior on slope,Axel Heiberg,162,Lower,Sparse,16.65,6.405,2.87,0.182,5.385,0.57,79.408,-90.764,13.07.19
B3,15,Dried creek bed,Axel Heiberg,94,Upper,None,17.8,2.234,5.63,0.042,1.778,11.47,79.395,-90.814,13.07.19
B4,16,Dried creek bed,Axel Heiberg,94,Lower,None,13.35,11.469,5.73,0.048,1.844,1.72,79.395,-90.814,13.07.19
B5,17,Riperian creek,Axel Heiberg,94,Upper,Sparse,22.3,3.307,5.36,0.042,1.467,37.27,79.395,-90.814,13.07.19
B6,18,Riperian creek,Axel Heiberg,94,Lower,Sparse,13.55,8.192,5.11,0.058,1.756,5.88,79.395,-90.814,13.07.19
B7,19,Glacial river shore,Axel Heiberg,101,Upper,None,17.5,17.325,5.12,0,0.657,8.74,79.394,-90.835,13.07.19
B8,20,Glacial river shore,Axel Heiberg,101,Lower,None,9.25,21.643,4.99,0,0.826,2.15,79.394,-90.835,13.07.19
B9,21,Cotton grass,Axel Heiberg,91,Upper,Dense,14.1,31.532,6.24,0.07,2.368,1.29,79.387,-91.012,13.07.19
B10,22,Cotton grass,Axel Heiberg,91,Lower,Dense,10.4,33.165,5.66,0,2.089,0.72,79.387,-91.012,13.07.19
B11,23,Polygon interior moss,Axel Heiberg,94,Upper,Dense,15.1,8.839,5.86,0.147,3.911,0.57,79.388,-91.003,13.07.19
B12,24,Polygon interior moss,Axel Heiberg,94,Lower,Dense,11.8,12.629,5.58,0.082,2.113,0.57,79.388,-91.003,13.07.19
C1,25,Ridge orange gravel,Axel Heiberg,197,Upper,None,16.3,1.864,6.22,0,0.72,0.57,79.417,-90.742,13.07.19
C2,26,Ridge orange gravel,Axel Heiberg,197,Lower,None,14.45,7.513,5.35,0,0.474,0.43,79.417,-90.742,13.07.19
C3,27,Ridge orange gravel,Axel Heiberg,197,Lower,None,14.45,6.974,6.34,0,0.181,0.43,79.417,-90.742,13.07.19
C4,28,Ridge orange gravel,Axel Heiberg,197,Lower,None,14.45,9.235,5.08,0,0.358,0.43,79.417,-90.742,13.07.19
C5,29,Slope GH glacier river side,Axel Heiberg,103,Upper,Sparse,18.5,1.84,5.87,0.292,3.574,2.44,79.41,-90.711,14.07.19
C6,30,Slope GH glacier river side,Axel Heiberg,103,Lower,Sparse,12.7,5.43,6.26,0.003,1.263,0.72,79.41,-90.711,14.07.19
C7,31,Slope GH glacier river side moss,Axel Heiberg,103,Upper,Dense,16.3,3.193,6.22,0.267,5.089,1.29,79.41,-90.711,14.07.19
C8,32,Slope GH glacier river side moss,Axel Heiberg,103,Lower,Dense,13.55,6.965,5.53,0.057,1.719,0.57,79.41,-90.711,14.07.19
C9,33,ATV trail wet,Axel Heiberg,188,Upper,Sparse,12.5,19.897,5.65,0.225,3.51,4.01,79.414,-90.747,15.07.19
C10,34,ATV trail wet,Axel Heiberg,188,Lower,Sparse,10.4,26.2,5.03,0.455,5.827,0.72,79.414,-90.747,15.07.19
D1,37,Colour lake cotton grass,Axel Heiberg,194,Upper,Dense,12.1,58.257,2.18,0.311,10.761,1.72,79.414,-90.761,15.07.19
D2,38,Colour lake cotton grass,Axel Heiberg,194,Lower,Dense,9.8,26.848,2.43,0.117,2.048,1,79.414,-90.761,15.07.19
D3,39,Colour lake runoff lichen moss,Axel Heiberg,194,Upper,Sparse,11,47.211,2.04,0.22,7.221,13.04,79.414,-90.761,15.07.19
D4,40,Colour lake runoff lichen moss,Axel Heiberg,194,Lower,Sparse,8.75,26.396,2.5,0.065,1.957,0.86,79.414,-90.761,15.07.19
D5,41,Willow tree,Axel Heiberg,194,Upper,Dense,10.6,6.38,2.15,0.327,10.199,5.45,79.414,-90.759,15.07.19
D6,42,Willow tree,Axel Heiberg,194,Lower,Dense,9.1,10.954,2.61,0.169,5.107,0.72,79.414,-90.759,15.07.19
D7,43,Wolf peak Ridge mustard,Axel Heiberg,454,Upper,None,8.7,1.946,4.29,0,0.467,0.29,79.422,-90.867,16.07.19
D8,44,Wolf peak Ridge mustard,Axel Heiberg,454,Lower,None,8.1,2.347,3.98,0,0.089,0.14,79.422,-90.867,16.07.19
D9,45,Wolf peak Ridge ketchup,Axel Heiberg,454,Upper,None,9.4,6.117,3.66,0,0.818,0.29,79.422,-90.867,16.07.19
D10,46,Wolf peak Ridge ketchup,Axel Heiberg,454,Lower,None,9.05,2.668,3.81,0,0.121,0.29,79.422,-90.867,16.07.19
D11,47,Wolf peak Ridge red,Axel Heiberg,454,Upper,None,9.5,7.773,3.11,0,0.21,0.29,79.422,-90.867,16.07.19
D12,48,Wolf peak Ridge red,Axel Heiberg,454,Lower,None,9.05,11.053,2.38,0.005,3.014,0.43,79.422,-90.867,16.07.19
E1,49,Wolf peak Ridge pepper,Axel Heiberg,454,Upper,None,10,3.901,4.47,0.082,4.982,0.14,79.422,-90.867,16.07.19
E2,50,Wolf peak Ridge pepper,Axel Heiberg,454,Lower,None,7.55,5.92,6.3,0.19,11.285,0.29,79.422,-90.867,16.07.19
E3,51,Polygon trough,Axel Heiberg,198,Upper,Sparse,12.3,29.793,3.95,0.322,8.526,11.32,79.416,-90.764,17.07.19
E4,52,Polygon trough,Axel Heiberg,198,Lower,Sparse,11.2,17.197,4.71,0.168,4.354,0.72,79.416,-90.764,17.07.19
E5,53,Polygon side angle,Axel Heiberg,198,Upper,Sparse,12.6,15.756,4.04,0.287,5.238,6.88,79.416,-90.764,17.07.19
E6,54,Polygon side angle,Axel Heiberg,198,Lower,Sparse,11.25,12.949,3.51,0.116,1.761,1.15,79.416,-90.764,17.07.19
E7,55,Colour lake soil,Axel Heiberg,199,Upper,None,13.3,11.795,3.68,0.063,1.137,6.31,79.416,-90.756,17.07.19
E8,56,Colour lake soil,Axel Heiberg,199,Lower,None,11.5,10.039,4.65,0.011,0.903,0.57,79.416,-90.756,17.07.19
E9,57,Colour lake white soil,Axel Heiberg,200,Upper,Sparse,12,46.719,2.71,0.244,6.832,8.03,79.416,-90.755,17.07.19
E10,58,Colour lake white soil,Axel Heiberg,200,Lower,Sparse,10.5,22.021,3.23,0.028,0.901,0.57,79.416,-90.755,17.07.19
E11,59,White glacier side,Axel Heiberg,162,Upper,None,14.7,11.053,6.02,0,0.256,59.48,79.436,-90.664,18.07.19
E12,60,White glacier side,Axel Heiberg,162,Lower,None,8,10.422,5.53,0,0.629,5.59,79.436,-90.664,18.07.19
F1,61,White glacier side,Axel Heiberg,162,Upper,None,13.4,9.71,5.62,0,0.158,80.41,79.436,-90.664,18.07.19
F2,62,White glacier side,Axel Heiberg,162,Lower,None,8.9,8.451,6.07,0,0.348,7.17,79.436,-90.664,18.07.19
F3,63,Ravin soil,Axel Heiberg,111,Upper,Sparse,21.2,18.24,6.11,0.041,1.665,1.29,79.422,-90.692,18.07.19
F4,64,Ravin soil,Axel Heiberg,111,Lower,Sparse,15.7,5.013,5.06,0.013,1.201,0.57,79.422,-90.692,18.07.19
F5,65,Pee spot,Axel Heiberg,191,Upper,Dense,9.4,6.86,5.38,0.375,6.216,1.15,79.415,-90.746,18.07.19
F6,66,Pee spot,Axel Heiberg,191,Lower,Dense,8.8,8.481,5.32,0,2.723,0.72,79.415,-90.746,18.07.19
F7,67,Gypsum Hill summit,Axel Heiberg,166,Upper,None,10.6,1.186,5.01,0,2.139,12.9,79.412,-90.741,18.07.19
